paper_id,page_count,chinese_chars,english_words,total_chars,logical_connectors,modeling_terms,references,equations,section_count,sentence_count,avg_sentence_length,std_sentence_length,terminology_richness,chars_per_page,logical_density,formula_density,ref_density,model_term_density,ai_repetition_ratio,ai_burstiness,ai_para_uniformity
A1_24,77,16747,732,29908,116,207,26,122,525,1545,17.37022653721683,10.218272560635588,0.7251878212732306,217.4935064935065,6.926613721860631,1.5844155844155845,0.33766233766233766,12.360422762285783,0.12773403324584426,0.593542553294025,0.3504239257623009
A1_26,54,16745,709,30415,314,349,199,77,1096,1140,25.032456140350877,15.842697114510253,0.8451966152314584,310.0925925925926,18.751866228724992,1.4259259259259258,3.685185185185185,20.84204240071663,0.06326304106548279,0.6235027342446976,0.9814369861958796
A1_27,66,13714,1547,25900,314,409,42,23,914,1150,20.632173913043477,11.513523600917518,0.8092783505154639,207.78787878787878,22.896310339798745,0.3484848484848485,0.6363636363636364,29.8235379903748,0.06651108518086347,0.553810939425386,0.3270863737333606
A1_28,62,14017,1412,28214,147,298,65,98,913,1146,23.019197207678882,14.861418526239982,0.7716115261472786,226.08064516129033,10.487265463365913,1.5806451612903225,1.0483870967741935,21.259898694442462,0.11777777777777777,0.6398562658971687,0.36008508708297576
A1_29,60,12688,1658,28527,81,521,70,92,1125,1077,25.0677808727948,15.309862097154156,0.7710976282404853,211.46666666666667,6.383984867591424,1.5333333333333334,1.1666666666666667,41.062421185372,0.10996563573883161,0.6037929067165211,0.3178133093297538
A1_30,18,8835,412,15051,58,230,26,75,365,614,22.672638436482085,13.455754513245907,0.8900343642611683,490.8333333333333,6.5647990945104695,4.166666666666667,1.4444444444444444,26.03282399547255,0.03303964757709251,0.5686260789357332,1.0804297835724277
A2_2-1,69,9438,1059,21098,87,217,26,100,561,803,24.86052303860523,15.350061296088638,0.8174305033809166,136.7826086956522,9.218054672600127,1.4492753623188406,0.37681159420289856,22.992159355795717,0.12337662337662338,0.6066274773531688,0.42217521831441274
A2_2-10,53,6002,726,16149,85,34,8,62,790,646,23.489164086687307,15.390551570019259,0.7503250975292588,113.24528301886792,14.161946017994003,1.169811320754717,0.1509433962264151,5.664778407197601,0.23689727463312368,0.6555780133892424,0.31337769331536497
A2_2-2,30,9247,140,13236,120,133,24,36,214,542,22.542435424354245,12.78061579870741,0.8801534036433365,308.23333333333335,12.977181788688224,1.2,0.8,14.383043149129447,0.019559902200488997,0.5553400606530104,0.2656968634220646
A2_2-3,22,7187,147,11927,89,126,10,34,563,570,19.17719298245614,12.108942868137184,0.7693817468105987,326.6818181818182,12.383470154445526,1.5454545454545454,0.45454545454545453,17.531654375956588,0.10098522167487685,0.6271058069435662,0.4134411827394052
A2_2-4,19,13184,113,16292,128,181,34,3,141,646,23.789473684210527,12.398402500028505,0.806966618287373,693.8947368421053,9.708737864077671,0.15789473684210525,1.7894736842105263,13.72876213592233,0.11928429423459244,0.49733386933542706,0.25127833001108707
A2_2-5,48,15418,672,26021,98,241,22,67,619,1261,18.875495638382237,12.290414335902474,0.6462014134275619,321.2083333333333,6.356207030743287,1.3958333333333333,0.4583333333333333,15.631080555195227,0.12817551963048499,0.6501262442609728,0.349928387944776
A2_2-6,34,10103,341,15793,134,280,37,37,406,695,21.359712230215827,12.388673867890718,0.8055347793567689,297.1470588235294,13.26338711273879,1.088235294117647,1.088235294117647,27.714540235573594,0.022944550669216062,0.5731854730571069,0.32771991040899057
A2_2-7,18,9050,448,13605,102,232,32,28,318,568,21.806338028169016,13.807192016434577,0.8450184501845018,502.77777777777777,11.270718232044198,1.5555555555555556,1.7777777777777777,25.635359116022098,0.0199501246882793,0.6244363617280287,0.24221213213417292
A2_2-9,32,12999,454,19623,169,235,66,10,462,815,22.498159509202456,13.543374865503905,0.8597144630664184,406.21875,13.001000076928994,0.3125,2.0625,18.078313716439727,0.019834710743801654,0.5888469506864269,0.503238356427008
A3_3-1,28,16745,208,22257,309,235,22,30,339,1006,20.608349900596423,11.748173152719417,0.903110657827639,598.0357142857143,18.453269632726187,1.0714285714285714,0.7857142857142857,14.034040011943864,0.016282225237449117,0.5609896078880261,0.32037637872980407
A3_3-2,35,8537,147,12246,145,250,18,30,236,505,22.42178217821782,13.278521359590762,0.8542402826855123,243.9142857142857,16.984889305376594,0.8571428571428571,0.5142857142857142,29.284291905821714,0.013513513513513514,0.5811010861186491,0.8467288758781369
A3_3-3,69,21339,472,31328,485,486,30,60,617,1354,21.549483013293944,12.029235209801358,0.7942494398805079,309.2608695652174,22.728337785275787,0.8695652173913043,0.43478260869565216,22.775200337410375,0.040117416829745595,0.568243526763163,0.7156887965773286
